L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB
4,50,"
",assistant_prefix,16.282674819231033,0.530926352698073,False,19.431839602078266,17.505766364265195,3.6377988371155164e-09,2.4961855781894882e-08
27,50,"
",assistant_prefix,11.668688118457794,0.38047888889773407,False,17.73649719215844,20.42441298162876,1.982087949385572e-08,1.3481311614294555e-09
17,50,"
",assistant_prefix,15.957860231399536,0.520335179789748,False,17.145949379303264,15.544711444211044,3.57759680813786e-08,1.7740440577705943e-07
9,50,"
",assistant_prefix,15.46626329421997,0.5043057637538748,False,15.459074120540999,14.349429489056007,1.932823290714232e-07,5.862290287262369e-07
23,50,"
",assistant_prefix,13.533347129821777,0.4412795017528047,False,15.40674551340332,16.23000443256971,2.036662511450645e-07,8.940039032352149e-08
11,50,"
",assistant_prefix,13.461398720741272,0.43893349246135677,False,15.1849232526323,16.08014192359432,2.542475199300019e-07,1.0385568479366728e-07
18,50,"
",assistant_prefix,13.869964599609375,0.4522555291852081,False,14.206857435149496,14.69350297047267,6.761202507613196e-07,4.1556158971026343e-07
14,50,"
",assistant_prefix,14.066297054290771,0.45865730747025624,False,13.584956959395855,13.875248044868098,1.2592420581601875e-06,9.418609198277787e-07
15,50,"
",assistant_prefix,13.999650478363037,0.45648417413252385,False,13.32536020471405,13.682319430812116,1.632499823835393e-06,1.1423165257150552e-06
10,50,"
",assistant_prefix,12.213356971740723,0.39823881169372366,False,12.971363588391421,15.114627328031492,2.325921817175983e-06,2.7274136898002774e-07
3,50,"
",assistant_prefix,12.626489877700806,0.4117097646775591,False,12.58830548179464,14.318407880867777,3.4115471237954866e-06,6.046841981173275e-07
19,50,"
",assistant_prefix,14.160462856292725,0.4617277554378554,False,12.572750219819893,12.768896278295616,3.4650278744186545e-06,2.8476065133396114e-06
22,50,"
",assistant_prefix,14.04851484298706,0.4580774859915865,False,12.367142024264853,12.675240061760357,4.256004573440926e-06,3.1272091383229455e-06
12,50,"
",assistant_prefix,13.466392278671265,0.4390963165383706,False,12.239556641965216,13.12977376974309,4.835176751017387e-06,1.98497287997474e-06
1,50,"
",assistant_prefix,14.330984115600586,0.4672879125537414,False,11.928352554692903,11.953978214934624,6.60032819644855e-06,6.432728441708214e-06
0,0,<|im_start|>,chat_template,14.926069736480713,0.4866917661431896,False,11.26841431794861,10.698958863754141,1.2769456054125419e-05,2.256547533267001e-05
6,26,4,operand,16.511240005493164,0.53837913806922,False,11.24689192841161,9.0922667583101,1.304724253994848e-05,0.00011251787584255935
2,0,<|im_start|>,chat_template,14.576061248779297,0.4752791001130848,False,11.129731379002903,10.910268656333562,1.4668995304210248e-05,1.826693582740568e-05
3,26,4,operand,15.84092903137207,0.5165224244386513,False,10.893229084073093,9.408911217624803,1.858287618669891e-05,8.197914134044004e-05
2,50,"
",assistant_prefix,13.487035274505615,0.4397694191218693,False,10.884451229189933,11.754007630815181,1.874669704081107e-05,7.856554422312494e-06
