L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB,prop_cos_final,prop_distimprove_final
22,50,"
",assistant_prefix,30.818683624267578,1.0048994697273546,True,16.461937167938547,4.889250067153662e-07,7.09005292884313e-08,0.999990974239171,0.9991070032119751,0.9571978449821472
23,50,"
",assistant_prefix,30.70635986328125,1.0012369483416566,True,16.349613818668825,1.0816466010790432e-07,7.932882373762248e-08,0.9999908542068906,0.9992201328277588,0.9603559970855713
25,50,"
",assistant_prefix,30.699338912963867,1.0010080174328306,True,16.342593097764617,4.26394357010021e-07,7.988772332062327e-08,0.9999905545593725,0.9998223185539246,0.982936441898346
26,50,"
",assistant_prefix,30.698637008666992,1.0009851305612065,True,16.341891494983336,5.688236107201243e-07,7.994378734870455e-08,0.9999901894073963,0.999678373336792,0.9746336340904236
27,50,"
",assistant_prefix,30.668424606323242,1.0,True,16.311678237713913,0.0,8.239604081185619e-08,0.9999914448606257,0.0,0.0
24,50,"
",assistant_prefix,30.66673469543457,0.9999448973688618,True,16.30998906882178,4.657763418183254e-07,8.25353148147651e-08,0.9999904067306948,0.9998296499252319,0.9831358790397644
21,50,"
",assistant_prefix,2.3636341094970703,0.07707060730500433,False,5.901616157146119e-06,11.992984758246775,0.9999890353049903,6.186868058950226e-06,0.587621808052063,0.12069660425186157
20,50,"
",assistant_prefix,2.287811279296875,0.07459826543633977,False,5.441041512284362e-06,12.068806291205291,0.9999895086311616,5.7351082969881766e-06,0.6381340026855469,0.2084743082523346
12,26,4,operand,0.9365730285644531,0.03053867424188948,False,4.742393312020536e-07,13.42003471835683,0.9999970048555732,1.4849422453315943e-06,0.43332013487815857,0.06496305763721466
21,26,4,operand,0.8280658721923828,0.027000600220646858,False,3.6833730803416127e-07,13.52853951802682,0.9999968543531456,1.332249107920421e-06,0.3676306903362274,0.04246836155653
20,26,4,operand,0.80670166015625,0.0263039810655916,False,3.237860697313292e-07,13.549903245765336,0.9999968805947647,1.304088574980755e-06,0.35697153210639954,0.03964816778898239
13,26,4,operand,0.5567893981933594,0.01815513530090359,False,3.137990615059267e-07,13.799816246574206,0.9999978195664493,1.0157152699904637e-06,0.40868255496025085,0.06561004370450974
15,26,4,operand,0.5026016235351562,0.01638824393449703,False,4.4245924554387395e-07,13.85400485375312,0.9999980531027909,9.621407999674488e-07,0.38273856043815613,0.06831707060337067
9,26,4,operand,0.4640331268310547,0.015130647654310223,False,1.0179284788121162e-07,13.892568806133403,0.9999973158169413,9.257382873768006e-07,0.3955684006214142,0.048565223813056946
16,26,4,operand,0.3901786804199219,0.01272248853433034,False,4.05015691051735e-07,13.966426778244296,0.9999981608497915,8.598328125184914e-07,0.3735946714878082,0.06468044966459274
19,50,"
",assistant_prefix,0.38796424865722656,0.012650282942060082,False,1.8509339574546277e-07,13.968636266461173,0.9999970720097278,8.579299439058651e-07,0.4319261312484741,0.06811106204986572
18,50,"
",assistant_prefix,0.3796367645263672,0.012378750111868914,False,2.44167064075051e-07,13.97696373405688,0.9999970079383248,8.508151564278416e-07,0.4682943522930145,0.12893973290920258
14,26,4,operand,0.3532257080078125,0.011517569374430277,False,3.447328613622051e-07,14.00337907416796,0.9999981625588958,8.286393312229804e-07,0.3821350336074829,0.06692077219486237
17,26,4,operand,0.3252277374267578,0.01060464440549392,False,4.043351380772051e-07,14.031377273371138,0.9999982463926913,8.057609487300468e-07,0.38494622707366943,0.06843236833810806
5,26,4,operand,0.32202911376953125,0.010500347438881324,False,5.243103928233153e-08,14.034570653887123,0.9999972288371441,8.031869229644645e-07,0.2840614318847656,0.02331901155412197
8,26,4,operand,0.3166007995605469,0.010323347339310994,False,4.655285646728847e-08,14.039999415022328,0.9999973555657995,7.988388854229315e-07,0.33212941884994507,0.03288593515753746
6,26,4,operand,0.3061542510986328,0.009982718546146309,False,4.467563349122905e-08,14.050445404386169,0.9999972588066779,7.905371372061132e-07,0.2751653492450714,0.02334553189575672
10,26,4,operand,0.3055591583251953,0.009963314459334663,False,7.560054188023036e-08,14.051042418913243,0.9999977230550448,7.900672010077041e-07,0.3470345735549927,0.029819417744874954
7,26,4,operand,0.29375267028808594,0.00957834235239849,False,3.9269292043259163e-08,14.062847068800648,0.9999973195692824,7.807938159223681e-07,0.29505500197410583,0.023292720317840576
19,26,4,operand,0.25832366943359375,0.008423115068660303,False,5.552781613282054e-07,14.09828205752301,0.9999984298134693,7.536162033398709e-07,0.3872144818305969,0.06582322716712952
18,26,4,operand,0.23781585693359375,0.007754420384689753,False,4.450507991161477e-07,14.118788585847744,0.9999983366693976,7.383185113096341e-07,0.31877899169921875,0.049710050225257874
4,26,4,operand,0.2109832763671875,0.006879495085759533,False,2.9011745907697368e-08,14.145615466163544,0.9999973546013288,7.187702430779828e-07,0.33136123418807983,0.022666316479444504
11,22,.,content,0.18979263305664062,0.006188535456024337,False,1.893535260902815e-08,14.166806376866418,0.9999975397267078,7.036994151130689e-07,0.4558108448982239,0.0587252601981163
10,22,.,content,0.1698474884033203,0.005538187584904541,False,1.2389935824239143e-08,14.186751285746945,0.9999975445505772,6.89803074776896e-07,0.43895941972732544,0.06526210904121399
11,26,4,operand,0.16565322875976562,0.005401426088434001,False,1.514422631163359e-07,14.190948565984307,0.9999981072920562,6.869163071051446e-07,0.29586899280548096,0.0295211561024189
9,22,.,content,0.1651287078857422,0.005384323127301942,False,1.4588997969859125e-08,14.191470384186042,0.9999976481161037,6.865557843891385e-07,0.5185198187828064,0.12048949301242828
17,22,.,content,0.14676475524902344,0.0047855329099220625,False,1.221297631558462e-08,14.209833522507914,0.9999974982202747,6.740628652847063e-07,0.38501691818237305,0.015031781978905201
15,50,"
",assistant_prefix,0.13511276245117188,0.004405598402446607,False,1.2180011295627096e-08,14.221485622350787,0.9999975454945883,6.662543023199629e-07,0.3605167269706726,0.0709611102938652
16,27, more,content,0.13190460205078125,0.004300990472904338,False,6.042234929930406e-08,14.224692574636718,0.9999971680308688,6.641200259474366e-07,0.19959092140197754,0.014434544369578362
19,27, more,content,0.1264171600341797,0.0041220624031700305,False,4.243143114175301e-08,14.23018026174818,0.9999972515600419,6.604857417161023e-07,0.1548566371202469,0.012120835483074188
19,22,.,content,0.12600326538085938,0.004108566612022187,False,7.1134524971965865e-09,14.230594931614604,0.9999975431275208,6.602126192617141e-07,0.34626632928848267,0.012185124680399895
13,22,.,content,0.12058639526367188,0.003931939667967466,False,7.1609307466258e-09,14.236011967107151,0.999997609634343,6.566460455975366e-07,0.31457948684692383,0.02084745280444622
17,29,.,content,0.117889404296875,0.0038439993514557138,False,2.299283678847927e-08,14.238708220747599,0.9999973767047011,6.548773106009144e-07,0.24926438927650452,0.014151855371892452
17,27, more,content,0.11292839050292969,0.0036822364354394004,False,5.075384875640628e-08,14.243668719810408,0.9999972113496142,6.516363929760361e-07,0.17876136302947998,0.013231644406914711
12,23, It,content,0.11033821105957031,0.0035977789037399946,False,1.8731511758343712e-08,14.246259216927962,0.9999973650237184,6.499508217050964e-07,0.25131845474243164,0.012318246066570282
